#%date=2021-08-26 08:08:50 UTC
# Drieletteringe codes talen. Totaal 487 ISO-codes, 100% zijn vertaald.
#%header0=Codebeschijving	Engels	Nederlands
Name for gmh	German, Middle High (ca. 1050-1500)	Middelhoogduits (ca. 1050-1500)
Name for goh	German, Old High (ca. 750-1050)	Oudhoogduits (ca. 750-1050)
Name for gon	Gondi	Gondi
Name for gor	Gorontalo	Gorontalo
Name for got	Gothic	Gothisch
Name for grb	Grebo	Grebo
Name for grc	Greek, Ancient (to 1453)	Grieks, Oud (tot 1453)
Name for grn	Guarani	Paraguaanse guarani
Name for gsw	Swiss German; Alemannic; Alsatian	Zwitserduits; Alemannisch; Elzassisch
Name for guj	Gujarati	Gujarati
Name for gwi	Gwich'in	Gwitsjin
Name for hai	Haida	Haida
Name for hat	Haitian; Haitian Creole	Haïtiaans; Haïtiaans Creools
Name for hau	Hausa	Hausa
Name for haw	Hawaiian	Hawaiiaans
Name for heb	Hebrew	Hebreeuws
Name for her	Herero	Herero
Name for hil	Hiligaynon	Hiligainoons
Name for him	Himachali languages; Western Pahari languages	Himachali talen; West-Pahari talen
Name for hin	Hindi	Hindi
Name for hit	Hittite	Hittitisch
Name for hmn	Hmong; Mong	Hmong; Mong
Name for hmo	Hiri Motu	Hiri Motu
Name for hrv	Croatian	Kroatisch
Name for hsb	Upper Sorbian	Oppersorbisch
Name for hun	Hungarian	Hongaars
Name for hup	Hupa	Hupa
Name for hye	Armenian	Armeens
Name for iba	Iban	Ibaans
Name for ibo	Igbo	Igbo
Name for ido	Ido	Ido
Name for iii	Sichuan Yi; Nuosu	Sitsjuan Yi; Nuosu
Name for ijo	Ijo languages	Ijo-talen
Name for iku	Inuktitut	Inuktitut
Name for ile	Interlingue; Occidental	Interlingue; Occidental
Name for ilo	Iloko	Iloko
Name for ina	Interlingua (International Auxiliary Language Association)	Interlingua (International Auxiliary Language Association)
Name for inc	Indic languages	Noord-Indische talen
Name for ind	Indonesian	Indonesisch
Name for ine	Indo-European languages	Indo-Europese talen
Name for inh	Ingush	Ingoesjetisch
Name for ipk	Inupiaq	Inupiak
Name for ira	Iranian languages	Iraanse talen
Name for iro	Iroquoian languages	Iroquoiaanse talen
Name for isl	Icelandic	IJslands
Name for ita	Italian	Italiaans
Name for jav	Javanese	Javaans
Name for jbo	Lojban	Lojbaans
Name for jpn	Japanese	Japans
Name for jpr	Judeo-Persian	Judeo-Perzisch
Name for jrb	Judeo-Arabic	Judeo-Arabisch
Name for kaa	Kara-Kalpak	Kara-Kalpak
Name for kab	Kabyle	Kabyle
Name for kac	Kachin; Jingpho	Kachin; Jingpho
Name for kal	Kalaallisut; Greenlandic	Kalaallisut; Groenlands
Name for kam	Kamba	Kamba
Name for kan	Kannada	Kannada
Name for kar	Karen languages	Karen-talen
Name for kas	Kashmiri	Kashmiri
Name for kat	Georgian	Georgisch
Name for kau	Kanuri	Kanuri
Name for kaw	Kawi	Kawi
Name for kaz	Kazakh	Kazachs
Name for kbd	Kabardian	Kabardisch, Tsjerkessisch
Name for kha	Khasi	Khasi
Name for khi	Khoisan languages	Khoisantalen
Name for khm	Central Khmer	Centraal-Khmer
Name for kho	Khotanese; Sakan	Khotanees; Sakan
Name for kik	Kikuyu; Gikuyu	Kikuyu; Gikuyu
Name for kin	Kinyarwanda	Kinyarwanda
Name for kir	Kirghiz; Kyrgyz	Kirgizisch
Name for kmb	Kimbundu	Kimbundu
Name for kok	Konkani	Konkani
Name for kom	Komi	Komi
Name for kon	Kongo	Kongo
Name for kor	Korean	Koreaans
Name for kos	Kosraean	Kosraeaans
Name for kpe	Kpelle	Kpelle
Name for krc	Karachay-Balkar	Karatsjay-Balkar
Name for krl	Karelian	Karelisch
Name for kro	Kru languages	Kru-talen
Name for kru	Kurukh	Kurukh
Name for kua	Kuanyama; Kwanyama	Kuanyama; Kwanyama
Name for kum	Kumyk	Kumyk
Name for kur	Kurdish	Koerdisch
Name for kut	Kutenai	Kutenaïsch
Name for lad	Ladino	Ladino
Name for lah	Lahnda	Lahnda
Name for lam	Lamba	Lamba
Name for lao	Lao	Lao
Name for lat	Latin	Latijn
Name for lav	Latvian	Lets
Name for lez	Lezghian	Lezghiaans
Name for lim	Limburgan; Limburger; Limburgish	Limburgs
Name for lin	Lingala	Lingala
Name for lit	Lithuanian	Litouws
Name for lol	Mongo	Mongo
Name for loz	Lozi	Lozi
Name for ltz	Luxembourgish; Letzeburgesch	Luxemburgs; Lëtzebuergesch
Name for lua	Luba-Lulua	Luba-Lulua
Name for lub	Luba-Katanga	Luba-Katanga
Name for lug	Ganda	Ganda
Name for lui	Luiseno	Luiseno
Name for lun	Lunda	Lunda
Name for luo	Luo (Kenya and Tanzania)	Luo (Kenia en Tanzania)
Name for lus	Lushai	Lushai
Name for mad	Madurese	Madurees
Name for mag	Magahi	Magahisch
Name for mah	Marshallese	Marshallees
Name for mai	Maithili	Maithili
Name for mak	Makasar	Makasar
Name for mal	Malayalam	Malayalam
Name for man	Mandingo	Mandingo
Name for map	Austronesian languages	Austronesische talen
Name for mar	Marathi	Marathi
Name for mas	Masai	Masai
Name for mdf	Moksha	Moksja
Name for mdr	Mandar	Mandars
Name for men	Mende	Mende
Name for mga	Irish, Middle (900-1200)	Iers, Middel (900-1200)
Name for mic	Mi'kmaq; Micmac	Mi'kmaq; Micmac
Name for min	Minangkabau	Minangkabau
Name for mis	Uncoded languages	Niet-gecodeerde talen
Name for mkd	Macedonian	Macedonisch
Name for mkh	Mon-Khmer languages	Mon-Khmer talen
Name for mlg	Malagasy	Malagassisch
Name for mlt	Maltese	Maltees
Name for mnc	Manchu	Manchu
Name for mni	Manipuri	Manipuri
Name for mno	Manobo languages	Manobo-talen
Name for moh	Mohawk	Mohawk
Name for mon	Mongolian	Mongools
Name for mos	Mossi	Mossisch
Name for mri	Maori	Maori
Name for msa	Malay	Maleis
Name for mul	Multiple languages	Meerdere talen
Name for mun	Munda languages	Munda-talen
Name for mus	Creek	Creek
Name for mwl	Mirandese	Mirandees
Name for mwr	Marwari	Marwari
Name for mya	Burmese	Burmees
Name for myn	Mayan languages	Maja-talen
Name for myv	Erzya	Erzya
Name for nah	Nahuatl languages	Nahuatl-talen
Name for nai	North American Indian languages	Noord-Amerikaanse Indiaanse talen
Name for nap	Neapolitan	Napolitaans
Name for nau	Nauru	Nauru
Name for nav	Navajo; Navaho	Navajo; Navaho
Name for nbl	Ndebele, South; South Ndebele	Ndbele, Zuid; Zuid-Ndebele
Name for nde	Ndebele, North; North Ndebele	Ndbele, Noord; Noord-Ndebele
Name for ndo	Ndonga	Ndonga
Name for nds	Low German; Low Saxon; German, Low; Saxon, Low	Nederduits; Nedersaksisch; Duits, Neder-; Saksisch, Neder-
Name for nep	Nepali	Nepalees
Name for new	Nepal Bhasa; Newari	Nepal Bhasa; Newari
Name for nia	Nias	Niaas
Name for nic	Niger-Kordofanian languages	Niger-Kordofaniaanse talen
Name for niu	Niuean	Niueaans
Name for nld	Dutch; Flemish	Nederlands
Name for nno	Norwegian Nynorsk; Nynorsk, Norwegian	Nynorsk-Noors; Noors, Nynorsk
Name for nob	Bokmål, Norwegian; Norwegian Bokmål	Bokmål, Noors; Noors Bokmål
Name for nog	Nogai	Nogai
Name for non	Norse, Old	Noors, Oud
Name for nor	Norwegian	Noors
Name for nqo	N'Ko	Nko
Name for nso	Pedi; Sepedi; Northern Sotho	Pedi; Sepedi; Noord Sotho
Name for nub	Nubian languages	Nubische talen
Name for nwc	Classical Newari; Old Newari; Classical Nepal Bhasa	Klassiek Newari; Oud Newari; Klassiek Nepalees Bhasa
Name for nya	Chichewa; Chewa; Nyanja	Tsjewa; Tsjitsjewa; Nyanja
Name for nym	Nyamwezi	Nyamwezi
Name for nyn	Nyankole	Nyankools
Name for nyo	Nyoro	Nyoro
Name for nzi	Nzima	Nzima
Name for oci	Occitan (post 1500); Provençal	Occitaans (na 1500); Provinciaals
Name for oji	Ojibwa	Ojibwa
Name for ori	Oriya	Oriya
Name for orm	Oromo	Oromo
Name for osa	Osage	Osage
Name for oss	Ossetian; Ossetic	Ossetisch, Osseets
Name for ota	Turkish, Ottoman (1500-1928)	Turks, Ottomaans (1500-1928)
Name for oto	Otomian languages	Otomiaanse talen
Name for paa	Papuan languages	Papoeatalen
Name for pag	Pangasinan	Pangasinaans
Name for pal	Pahlavi	Pehlevi
Name for pam	Pampanga; Kapampangan	Pampanga; Kapampangan
Name for pan	Panjabi; Punjabi	Panjabi; Punjabi
Name for pap	Papiamento	Papiamento
Name for pau	Palauan	Palauaans
Name for peo	Persian, Old (ca. 600-400 B.C.)	Oudperzisch (ca. 600-400 v.Chr.)
Name for phi	Philippine languages	Filipijnse talen
Name for phn	Phoenician	Fenicisch
Name for pli	Pali	Pali
Name for pol	Polish	Pools
Name for pon	Pohnpeian	Pohnpeiaans
Name for por	Portuguese	Portugees
Name for pra	Prakrit languages	Prakrit-talen
Name for pro	Provençal, Old (to 1500)	Provençaals, Oud (tot 1500)
Name for pus	Pushto; Pashto	Pasjtoe
Name for qaa-qtz	Reserved for local use	Gereserveerd voor lokaal gebruik
Name for que	Quechua	Quechua
Name for raj	Rajasthani	Rajasthani
Name for rap	Rapanui	Rapanui
Name for rar	Rarotongan; Cook Islands Maori	Rarotongan; Cook Island Maori
Name for roa	Romance languages	Romaanse talen
Name for roh	Romansh	Romaans
Name for rom	Romany	Roma
Name for ron	Romanian; Moldavian; Moldovan	Roemeens; Moldavisch
Name for run	Rundi	Rundi
Name for rup	Aromanian; Arumanian; Macedo-Romanian	Aroemeens; Macedo-Roemeens
Name for rus	Russian	Russisch
Name for sad	Sandawe	Sandawe
Name for sag	Sango	Sangho
Name for sah	Yakut	Jakoets
Name for sai	South American Indian (Other)	Zuid-Amerikaans Indiaans (overige)
Name for sal	Salishan languages	Salisjische talen
Name for sam	Samaritan Aramaic	Samaritaans Aramees
Name for san	Sanskrit	Sanskriet
Name for sas	Sasak	Sasaaks
Name for sat	Santali	Santali
Name for scn	Sicilian	Siciliaans
Name for sco	Scots	Schots
Name for sel	Selkup	Sulkoeps
Name for sem	Semitic languages	Semitische talen
Name for sga	Irish, Old (to 900)	Iers, Oud (tot 900)
Name for sgn	Sign Languages	Gebarentalen
Name for shn	Shan	Shan
Name for sid	Sidamo	Sidamo
Name for sin	Sinhala; Sinhalese	Sinhala; Sinhalees
Name for sio	Siouan languages	Siouaanse talen
Name for sit	Sino-Tibetan languages	Sino-Tibetaanse talen
Name for sla	Slavic languages	Slavische talen
Name for slk	Slovak	Slovaaks, Slowaaks
Name for slv	Slovenian	Sloveens
Name for sma	Southern Sami	Zuid-Sami
Name for sme	Northern Sami	Noord-Sami
Name for smi	Sami languages	Sami talen
Name for smj	Lule Sami	Lule Sami
Name for smn	Inari Sami	Inari Sami
Name for smo	Samoan	Samoaans
Name for sms	Skolt Sami	Skolt-Sami
Name for sna	Shona	Shona
Name for snd	Sindhi	Sindhi
Name for snk	Soninke	Soninke
Name for sog	Sogdian	Sogdiaans
Name for som	Somali	Somali
Name for son	Songhai languages	Songhai-talen
Name for sot	Sotho, Southern	Sothaans, Zuid
Name for spa	Spanish; Castilian	Spaans; Castiliaans
Name for sqi	Albanian	Albanees
Name for srd	Sardinian	Sardijns
Name for srn	Sranan Tongo	Sranan Tongo
Name for srp	Serbian	Servisch
Name for srr	Serer	Serer
Name for ssa	Nilo-Saharan languages	Nilo-Sahara talen
Name for ssw	Swati	Swati
Name for suk	Sukuma	Sukuma
Name for sun	Sundanese	Soendanees
Name for sus	Susu	Susu
Name for sux	Sumerian	Sumerisch
Name for swa	Swahili	Swahili
Name for swe	Swedish	Zweeds
Name for syc	Classical Syriac	Klassiek Syrich
Name for syr	Syriac	Syrisch
Name for tah	Tahitian	Tahitisch
Name for tai	Tai languages	Thaise talen
Name for tam	Tamil	Tamil
Name for tat	Tatar	Tatar
Name for tel	Telugu	Telugu
Name for tem	Timne	Timne
Name for ter	Tereno	Tereno
Name for tet	Tetum	Tetum
Name for tgk	Tajik	Tadzjieks
Name for tgl	Tagalog	Tagalog
Name for tha	Thai	Thais
Name for tig	Tigre	Tigre
Name for tir	Tigrinya	Tigrinya
Name for tiv	Tiv	Tiv
Name for tkl	Tokelau	Tokelau
Name for tlh	Klingon; tlhIngan-Hol	Klingon; tlhIngan-Hol
Name for tli	Tlingit	Tlingit
Name for tmh	Tamashek	Tamasjek
Name for tog	Tonga (Nyasa)	Tonga (Nyasa)
Name for ton	Tonga (Tonga Islands)	Tonga (Tonga-eilanden)
Name for tpi	Tok Pisin	Tok Pisin
Name for tsi	Tsimshian	Tsimsjiaans
Name for tsn	Tswana	Tswana
Name for tso	Tsonga	Tsonga
Name for tuk	Turkmen	Turkmeens
Name for tum	Tumbuka	Tumbuka
Name for tup	Tupi languages	Tupi-talen
Name for tur	Turkish	Turks
Name for tut	Altaic languages	Altaïsche talen
Name for tvl	Tuvalu	Tuvalu
Name for twi	Twi	Twi
Name for tyv	Tuvinian	Tuviniaans
Name for udm	Udmurt	Udmurts
Name for uga	Ugaritic	Ugaritisch
Name for uig	Uighur; Uyghur	Oeigoers; Oejgoers
Name for ukr	Ukrainian	Oekraïens
Name for umb	Umbundu	Umbundu
Name for und	Undetermined	Onbepaald
Name for urd	Urdu	Urdu
Name for uzb	Uzbek	Oezbeeks
Name for vai	Vai	Vai
Name for ven	Venda	Venda
Name for vie	Vietnamese	Vietnamees
Name for vol	Volapük	Volapük
Name for vot	Votic	Votisch
Name for wak	Wakashan languages	Wakasjaanse talen
Name for wal	Walamo	Walamo
Name for war	Waray	Waray
Name for was	Washo	Wasjo
Name for wen	Sorbian languages	Sorbiaanse talen
Name for wln	Walloon	Waals
Name for wol	Wolof	Wolof
Name for xal	Kalmyk; Oirat	Kalmuks
Name for xho	Xhosa	Xhosa
Name for yao	Yao	Yao
Name for yap	Yapese	Yapees
Name for yid	Yiddish	Jiddisch
Name for yor	Yoruba	Yoruba
Name for ypk	Yupik languages	Joepikse talen
Name for zap	Zapotec	Zapotec
Name for zbl	Blissymbols; Blissymbolics; Bliss	Bliss-symbolen; Bliss symbolisme; Bliss
Name for zen	Zenaga	Zenaga
Name for zgh	Standard Moroccan Tamazight	Standaard Marokkaans Tamazight
Name for zha	Zhuang; Chuang	Zhuang; Chuang
Name for zho	Chinese	Chinees
Name for znd	Zande languages	Zande-talen
Name for zul	Zulu	Zoeloe
Name for zun	Zuni	Zuni
Name for zxx	No linguistic content; Not applicable	Geen linguïstische inhoud; niet van toepassing
Name for zza	Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki	Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki
