gsw, Name for	Swiss German; Alemannic; Alsatian	Zwitserduits, Alemannisch en Elzassisch
guj, Name for	Gujarati	Gujarati
gwi, Name for	Gwich'in	Gwitsjin
hai, Name for	Haida	Haida
hat, Name for	Haitian; Haitian Creole	Haïtiaans; Haïtiaans Creools
hau, Name for	Hausa	Hausa
haw, Name for	Hawaiian	Hawaiiaans
heb, Name for	Hebrew	Hebreeuws
her, Name for	Herero	Herero
hil, Name for	Hiligaynon	Hiligainoons
him, Name for	Himachali languages; Western Pahari languages	Himachali talen; West-Pahari talen
hin, Name for	Hindi	Hindi
hit, Name for	Hittite	Hittitisch
hmn, Name for	Hmong; Mong	Hmong; Mong
hmo, Name for	Hiri Motu	Hiri Motu
hrv, Name for	Croatian	Kroatisch
hsb, Name for	Upper Sorbian	Oppersorbisch
hun, Name for	Hungarian	Hongaars
hup, Name for	Hupa	Hupa
hye, Name for	Armenian	Armeens
iba, Name for	Iban	Ibaans
ibo, Name for	Igbo	Igbo
ido, Name for	Ido	Ido
iii, Name for	Sichuan Yi; Nuosu	Sitsjuan Yi; Nuosu
ijo, Name for	Ijo languages	Ijo-talen
iku, Name for	Inuktitut	Inuktitut
ile, Name for	Interlingue; Occidental	Interlingue; Occidental
ilo, Name for	Iloko	Iloko
ina, Name for	Interlingua (International Auxiliary Language Association)	Interlingua (International Auxiliary Language Association)
inc, Name for	Indic languages	Noord-Indische talen
ind, Name for	Indonesian	Indonesisch
ine, Name for	Indo-European languages	Indo-Europese talen
inh, Name for	Ingush	Ingoesjetisch
ipk, Name for	Inupiaq	Inupiak
ira, Name for	Iranian languages	Iraanse talen
iro, Name for	Iroquoian languages	Iroquoiaanse talen
isl, Name for	Icelandic	IJslands
ita, Name for	Italian	Italiaans
jav, Name for	Javanese	Javaans
jbo, Name for	Lojban	Lojbaans
jpn, Name for	Japanese	Japans
jpr, Name for	Judeo-Persian	Judeo-Perzisch
jrb, Name for	Judeo-Arabic	Judeo-Arabisch
kaa, Name for	Kara-Kalpak	Kara-Kalpak
kab, Name for	Kabyle	Kabyle
kac, Name for	Kachin; Jingpho	Kachin; Jingpho
kal, Name for	Kalaallisut; Greenlandic	Kalaallisut; Groenlands
kam, Name for	Kamba	Kamba
kan, Name for	Kannada	Kannada
kar, Name for	Karen languages	Karen-talen
kas, Name for	Kashmiri	Kashmiri
kat, Name for	Georgian	Georgisch
kau, Name for	Kanuri	Kanuri
kaw, Name for	Kawi	Kawi
kaz, Name for	Kazakh	Kazachs
kbd, Name for	Kabardian	Kabardisch, Tsjerkessisch
kha, Name for	Khasi	Khasi
khi, Name for	Khoisan languages	Khoisantalen
khm, Name for	Central Khmer	Centraal-Khmer
kho, Name for	Khotanese; Sakan	Khotanees; Sakan
kik, Name for	Kikuyu; Gikuyu	Kikuyu; Gikuyu
kin, Name for	Kinyarwanda	Kinyarwanda
kir, Name for	Kirghiz; Kyrgyz	Kirgizisch
kmb, Name for	Kimbundu	Kimbundu
kok, Name for	Konkani	Konkani
kom, Name for	Komi	Komi
kon, Name for	Kongo	Kongo
kor, Name for	Korean	Koreaans
kos, Name for	Kosraean	Kosraeaans
kpe, Name for	Kpelle	Kpelle
krc, Name for	Karachay-Balkar	Karatsjay-Balkar
krl, Name for	Karelian	Karelisch
kro, Name for	Kru languages	Kru-talen
kru, Name for	Kurukh	Kurukh
kua, Name for	Kuanyama; Kwanyama	Kuanyama; Kwanyama
kum, Name for	Kumyk	Kumyk
kur, Name for	Kurdish	Koerdisch
kut, Name for	Kutenai	Kutenaïsch
lad, Name for	Ladino	Ladino
lah, Name for	Lahnda	Lahnda
lam, Name for	Lamba	Lamba
lao, Name for	Lao	Lao
lat, Name for	Latin	Latijn
lav, Name for	Latvian	Lets
lez, Name for	Lezghian	Lezghiaans
lim, Name for	Limburgan; Limburger; Limburgish	Limburgs
lin, Name for	Lingala	Lingala
lit, Name for	Lithuanian	Litouws
lol, Name for	Mongo	Mongo
loz, Name for	Lozi	Lozi
ltz, Name for	Luxembourgish; Letzeburgesch	Luxemburgs; Lëtzebuergesch
lua, Name for	Luba-Lulua	Luba-Lulua
lub, Name for	Luba-Katanga	Luba-Katanga
lug, Name for	Ganda	Ganda
lui, Name for	Luiseno	Luiseno
lun, Name for	Lunda	Lunda
luo, Name for	Luo (Kenya and Tanzania)	Luo (Kenia en Tanzania)
lus, Name for	Lushai	Lushai
mad, Name for	Madurese	Madurees
mag, Name for	Magahi	Magahisch
mah, Name for	Marshallese	Marshallees
mai, Name for	Maithili	Maithili
mak, Name for	Makasar	Makasar
mal, Name for	Malayalam	Malayalam
man, Name for	Mandingo	Mandingo
map, Name for	Austronesian languages	Austronesische talen
mar, Name for	Marathi	Marathi
mas, Name for	Masai	Masai
mdf, Name for	Moksha	Moksja
mdr, Name for	Mandar	Mandars
men, Name for	Mende	Mende
mga, Name for	Irish, Middle (900-1200)	Iers, Middel (900-1200)
mic, Name for	Mi'kmaq; Micmac	Mi'kmaq; Micmac
min, Name for	Minangkabau	Minangkabau
mis, Name for	Uncoded languages	Niet-gecodeerde talen
mkd, Name for	Macedonian	Macedonisch
mkh, Name for	Mon-Khmer languages	Mon-Khmer talen
mlg, Name for	Malagasy	Malagassisch
mlt, Name for	Maltese	Maltees
mnc, Name for	Manchu	Manchu
mni, Name for	Manipuri	Manipuri
mno, Name for	Manobo languages	Manobo-talen
moh, Name for	Mohawk	Mohawk
mon, Name for	Mongolian	Mongools
mos, Name for	Mossi	Mossisch
mri, Name for	Maori	Maori
msa, Name for	Malay	Maleis
mul, Name for	Multiple languages	Meerdere talen
mun, Name for	Munda languages	Munda-talen
mus, Name for	Creek	Creek
mwl, Name for	Mirandese	Mirandees
mwr, Name for	Marwari	Marwari
mya, Name for	Burmese	Burmees
myn, Name for	Mayan languages	Maja-talen
myv, Name for	Erzya	Erzya
nah, Name for	Nahuatl languages	Nahuatl-talen
nai, Name for	North American Indian languages	Noord-Amerikaanse Indiaanse talen
nap, Name for	Neapolitan	Napolitaans
nau, Name for	Nauru	Nauru
nav, Name for	Navajo; Navaho	Navajo; Navaho
nbl, Name for	Ndebele, South; South Ndebele	Ndbele, Zuid; Zuid-Ndebele
nde, Name for	Ndebele, North; North Ndebele	Ndbele, Noord; Noord-Ndebele
ndo, Name for	Ndonga	Ndonga
nds, Name for	Low German; Low Saxon; German, Low; Saxon, Low	Nederduits en Nedersaksisch; Duits, Neder en Saksisch, Neder
nep, Name for	Nepali	Nepalees
new, Name for	Nepal Bhasa; Newari	Nepal Bhasa; Newari
nia, Name for	Nias	Niaas
nic, Name for	Niger-Kordofanian languages	Niger-Kordofaniaanse talen
niu, Name for	Niuean	Niueaans
nld, Name for	Dutch; Flemish	Nederlands
nno, Name for	Norwegian Nynorsk; Nynorsk, Norwegian	Nynorsk-Noors; Noors, Nynorsk
nob, Name for	Bokmål, Norwegian; Norwegian Bokmål	Bokmål, Noors; Noors Bokmål
nog, Name for	Nogai	Nogai
non, Name for	Norse, Old	Noors, Oud
nor, Name for	Norwegian	Noors
nqo, Name for	N'Ko	Nko
nso, Name for	Pedi; Sepedi; Northern Sotho	Pedi; Sepedi; Noord Sotho
nub, Name for	Nubian languages	Nubische talen
nwc, Name for	Classical Newari; Old Newari; Classical Nepal Bhasa	Klassiek Newari; Oud Newari; Klassiek Nepalees Bhasa
nya, Name for	Chichewa; Chewa; Nyanja	Tsjewa; Tsjitsjewa; Nyanja
nym, Name for	Nyamwezi	Nyamwezi
nyn, Name for	Nyankole	Nyankools
nyo, Name for	Nyoro	Nyoro
nzi, Name for	Nzima	Nzima
oci, Name for	Occitan (post 1500); Provençal	Occitaans (na 1500); Provinciaals
oji, Name for	Ojibwa	Ojibwa
ori, Name for	Oriya	Oriya
orm, Name for	Oromo	Oromo
osa, Name for	Osage	Osage
oss, Name for	Ossetian; Ossetic	Ossetisch, Osseets
ota, Name for	Turkish, Ottoman (1500-1928)	Turks, Ottomaans (1500-1928)
oto, Name for	Otomian languages	Otomiaanse talen
paa, Name for	Papuan languages	Papoeatalen
pag, Name for	Pangasinan	Pangasinaans
pal, Name for	Pahlavi	Pehlevi
pam, Name for	Pampanga; Kapampangan	Pampanga; Kapampangan
pan, Name for	Panjabi; Punjabi	Panjabi; Punjabi
pap, Name for	Papiamento	Papiamento
pau, Name for	Palauan	Palauaans
peo, Name for	Persian, Old (ca. 600-400 B.C.)	Oudperzisch (ca. 600-400 v.Chr.)
phi, Name for	Philippine languages	Filipijnse talen
phn, Name for	Phoenician	Fenicisch
pli, Name for	Pali	Pali
pol, Name for	Polish	Pools
pon, Name for	Pohnpeian	Pohnpeiaans
por, Name for	Portuguese	Portugees
pra, Name for	Prakrit languages	Prakrit-talen
pro, Name for	Provençal, Old (to 1500)	Provençaals, Oud (tot 1500)
pus, Name for	Pushto; Pashto	Pasjtoe
qaa-qtz, Name for	Reserved for local use	Gereserveerd voor lokaal gebruik
que, Name for	Quechua	Quechua
raj, Name for	Rajasthani	Rajasthani
rap, Name for	Rapanui	Rapanui
rar, Name for	Rarotongan; Cook Islands Maori	Rarotongan; Cookeilandmaori
roa, Name for	Romance languages	Romaanse talen
roh, Name for	Romansh	Romaans
rom, Name for	Romany	Roma
ron, Name for	Romanian; Moldavian; Moldovan	Roemeens en Moldavisch
run, Name for	Rundi	Rundi
rup, Name for	Aromanian; Arumanian; Macedo-Romanian	Aroemeens en Macedo-Roemeens
rus, Name for	Russian	Russisch
sad, Name for	Sandawe	Sandawe
sag, Name for	Sango	Sangho
sah, Name for	Yakut	Jakoets
sai, Name for	South American Indian (Other)	Zuid-Amerikaans Indiaans (overige)
sal, Name for	Salishan languages	Salisjische talen
sam, Name for	Samaritan Aramaic	Samaritaans Aramees
san, Name for	Sanskrit	Sanskriet
sas, Name for	Sasak	Sasaaks
sat, Name for	Santali	Santali
scn, Name for	Sicilian	Siciliaans
sco, Name for	Scots	Schots
sel, Name for	Selkup	Sulkoeps
sem, Name for	Semitic languages	Semitische talen
sga, Name for	Irish, Old (to 900)	Iers, Oud (tot 900)
sgn, Name for	Sign Languages	Gebarentalen
shn, Name for	Shan	Shan
sid, Name for	Sidamo	Sidamo
sin, Name for	Sinhala; Sinhalese	Sinhala; Sinhalees
sio, Name for	Siouan languages	Siouaanse talen
sit, Name for	Sino-Tibetan languages	Sino-Tibetaanse talen
sla, Name for	Slavic languages	Slavische talen
slk, Name for	Slovak	Slovaaks, Slowaaks
slv, Name for	Slovenian	Sloveens
sma, Name for	Southern Sami	Zuid-Sami
sme, Name for	Northern Sami	Noord-Sami
smi, Name for	Sami languages	Sami talen
smj, Name for	Lule Sami	Lule Sami
smn, Name for	Inari Sami	Inari Sami
smo, Name for	Samoan	Samoaans
sms, Name for	Skolt Sami	Skolt-Sami
sna, Name for	Shona	Shona
snd, Name for	Sindhi	Sindhi
snk, Name for	Soninke	Soninke
sog, Name for	Sogdian	Sogdiaans
som, Name for	Somali	Somali
son, Name for	Songhai languages	Songhai-talen
sot, Name for	Sotho, Southern	Sothaans, Zuid
spa, Name for	Spanish; Castilian	Spaans; Castiliaans
sqi, Name for	Albanian	Albanees
srd, Name for	Sardinian	Sardijns
srn, Name for	Sranan Tongo	Sranan Tongo
srp, Name for	Serbian	Servisch
srr, Name for	Serer	Serer
ssa, Name for	Nilo-Saharan languages	Nilo-Sahara talen
ssw, Name for	Swati	Swati
suk, Name for	Sukuma	Sukuma
sun, Name for	Sundanese	Soendanees
sus, Name for	Susu	Susu
sux, Name for	Sumerian	Sumerisch
swa, Name for	Swahili	Swahili
swe, Name for	Swedish	Zweeds
syc, Name for	Classical Syriac	Klassiek Syrich
syr, Name for	Syriac	Syrisch
tah, Name for	Tahitian	Tahitisch
tai, Name for	Tai languages	Thaise talen
tam, Name for	Tamil	Tamil
tat, Name for	Tatar	Tatar
tel, Name for	Telugu	Telugu
tem, Name for	Timne	Timne
ter, Name for	Tereno	Tereno
tet, Name for	Tetum	Tetum
tgk, Name for	Tajik	Tadzjieks
tgl, Name for	Tagalog	Tagalog
tha, Name for	Thai	Thais
tig, Name for	Tigre	Tigre
tir, Name for	Tigrinya	Tigrinya
tiv, Name for	Tiv	Tiv
tkl, Name for	Tokelau	Tokelau
tlh, Name for	Klingon; tlhIngan-Hol	Klingon; tlhIngan-Hol
tli, Name for	Tlingit	Tlingit
tmh, Name for	Tamashek	Tamasjek
tog, Name for	Tonga (Nyasa)	Tonga (Nyasa)
ton, Name for	Tonga (Tonga Islands)	Tonga (Tonga-eilanden)
tpi, Name for	Tok Pisin	Tok Pisin
tsi, Name for	Tsimshian	Tsimsjiaans
tsn, Name for	Tswana	Tswana
tso, Name for	Tsonga	Tsonga
tuk, Name for	Turkmen	Turkmeens
tum, Name for	Tumbuka	Tumbuka
tup, Name for	Tupi languages	Tupi-talen
tur, Name for	Turkish	Turks
tut, Name for	Altaic languages	Altaïsche talen
tvl, Name for	Tuvalu	Tuvalu
twi, Name for	Twi	Twi
tyv, Name for	Tuvinian	Tuviniaans
udm, Name for	Udmurt	Udmurts
uga, Name for	Ugaritic	Ugaritisch
uig, Name for	Uighur; Uyghur	Oeigoers; Oejgoers
ukr, Name for	Ukrainian	Oekraïens
umb, Name for	Umbundu	Umbundu
und, Name for	Undetermined	Onbepaald
urd, Name for	Urdu	Urdu
uzb, Name for	Uzbek	Oezbeeks
vai, Name for	Vai	Vai
ven, Name for	Venda	Venda
vie, Name for	Vietnamese	Vietnamees
vol, Name for	Volapük	Volapük
vot, Name for	Votic	Votisch
wak, Name for	Wakashan languages	Wakasjaanse talen
wal, Name for	Walamo	Walamo
war, Name for	Waray	Waray
was, Name for	Washo	Wasjo
wen, Name for	Sorbian languages	Sorbiaanse talen
wln, Name for	Walloon	Waals
wol, Name for	Wolof	Wolof
xal, Name for	Kalmyk; Oirat	Kalmuks
xho, Name for	Xhosa	Xhosa
yao, Name for	Yao	Yao
yap, Name for	Yapese	Yapees
yid, Name for	Yiddish	Jiddisch
yor, Name for	Yoruba	Yoruba
ypk, Name for	Yupik languages	Joepikse talen
zap, Name for	Zapotec	Zapotec
zbl, Name for	Blissymbols; Blissymbolics; Bliss	Blisssymbolen; Blisssymboliek; Bliss
zen, Name for	Zenaga	Zenaga
zgh, Name for	Standard Moroccan Tamazight	Standaard Marokkaans Tamazight
zha, Name for	Zhuang; Chuang	Zhuang; Chuang
zho, Name for	Chinese	Chinees
znd, Name for	Zande languages	Zande-talen
zul, Name for	Zulu	Zoeloe
zun, Name for	Zuni	Zuni
zxx, Name for	No linguistic content; Not applicable	Geen linguïstische inhoud; niet van toepassing
zza, Name for	Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki	Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki
